question,answer,category
Pronounce these words which require an oral (non-nasal) I [i] + L that sounds like 'eel': pile + il + fil (thread) + bile + avril + gilet + huile,pile ('peel') + il ('eel') + fil ('feel') + bile ('beel') + avril ('ah-vreel') + gilet ('zshee-lay') + huile ('ooeel'),pronunciation
Pronounce these words which require an oral (non-nasal) I [j] that sounds like 'eey': pille + famille + fille + grill + grille + maquillage + billet,The spelling ILL results in the second oral I sound [j] that sounds like 'eey'. pille ('peey') + famille ('fa-meey') + fille ('feey') + grill ('gril'; This does not have lle so the sound is like an L instead of a Y) + grille ('greey') + maquillage ('ma-key-ahj') + billet ('bee-yay'); NB: ville is an exception as it is pronounced 'veel'.; NB: The combination 'elle' does not result in a Y sound. e.g. elle + voyelle,pronunciation
Pronounce these words which require a nasal I [ɛ̃]: un + intégralité + inscrire + importé + simple,Un + Intégralité + Inscrire + Importé + sImple; Notice how each nasal I is followed by N or M. And the following letter is a consonnant (or absent). That allows the I to remain nasal.; Un is pronounced with a nasal I in much of France because the nasal U ([œ̃]) is disappearing.; Alternatively: imagine (vowel + single consonnant + vowel) has a non-nasal I ('ee') in the first syllable.,pronunciation
Pronounce these words which require a nasal I [ɛ̃]: INgénieur(e) + main + train + chien + fin + coin + nain + pain + rien + saint + teint + lien + vin + chien + point + prochain,INgénieur ('AHN-zshay-noor') is leading example for this group + main ('mahn') + train ('trahn') + chien ('shee-ahn') + fin ('fahn') + coin ('kwahn') + nain ('nahn') + pain ('pahn')+ rien ('ray-ahn')+ saint ('sahn') + teint ('tahn') + lien ('lay-ahn') + vin ('vahn') + chien ('shee-ahn') + point ('pwahn') + prochain ('proe-shahn'); NB: The last syllable of the masculine prochain is super nasal and the N is silent. This is very different from the feminine prochaine which is quick / non-nasal and the N is pronounced.,pronunciation
How do you pronounce all of these written syllables: in + im + ain + en + ein + ym + yn?,These all result in the nasal I [ɛ̃]. It's an open nasal sound that is a mix between 'ohn' and 'uhn' - like INgénieur ('uhn-geh-noor').; NB: If you switch the consonant from N to M (for all of these) the pronunciation is almost exactly the same because the M/N are not pronounced strongly.,pronunciation
How do you pronounce the first syllable of these words differently? Why? inscrire + tennis + imagine,1) inscrire ('uhn'): The first syllable is the nasal I [ɛ̃] (like INgénieure). 2) tennis ('teh-nees'): The first syllable is NOT nasal because the E is followed by a double consonnant. So it is regular E [ə]. 3) imagine ('ee-mah-zsheen'): The first syllable is not nasal because it (IM) is followed by a vowel. So it is an oral I [i] that sounds like 'ee'.,pronunciation
How do you pronounce important + inéligible + immueble?,important ('UHM-por-tahn' with the same open 'uhn' sound as ingénieur because IM is followed by consonant) + inéligible ('EE-nay-lee-zsheebl' because IN is followed by vowel) + immueble ('EE-mobl' because the double M acts as one consonant and then there is a vowel),pronunciation
Pronounce these words which use nasal semi-vowels: prévient [jɛ̃] + quotidien [jɛ̃] + besoin [wɛ̃],prévient ('prehv-yah') + quotidien ('koh-toh-dyah') + besoin ('beh-zwah'); [jɛ̃] makes nasal 'yah' sound. [wɛ̃] makes nasal 'wah' sound.; If a silent E was added after any of these it would kill the nasal sounds. e.g. Neither quotidienne nor envoie are nasal in their final syllables (because of the added E).,pronunciation
How do you pronounce double I (ii) in french?,It makes a Y sound.; This happens with verbs in the imparfait tense in the nous and vous forms. e.g. ÉTUDIER: nous étudiions + vous étudiiez,pronunciation
How do you pronounce 'll' in french and what are the two exceptions?,ll is pronounced like Y (e.g. fille = 'feey' and famille = 'fa-meey'); the two exceptions are mille ('mil') and ville ('vil') which are pronounced like L,pronunciation
How do you pronounce î and ï differently?,These are pronounced exactly the same. But the tréma accent (the two dots) forces the second vowel to be pronounced separately. The tréma accent (two dots) is found on a vowel that is next to another vowel. It forces there to be two vowel sounds instead of one combined vowel sound.,pronunciation
How do you pronounce 'oi'?,'wah' e.g. the king = le roi ('rwah') e.g. the law = la loi ('lwa'),pronunciation
Pronounce these words which require an oral (non-nasal O [ɔ] that is closed (tongue up): hôpital + diplôme + mot + policier + chocolat + dossier + pot + l'eaux + peau,In english it is called a hard O. Mouth rounded. Sound in the bottom of the mouth. Short/downward tone.; hôpital ('ope') + diplôme ('ome') + mot ('moe') + policier ('poe-lee-seeay') + chocolat ('choe-coh-lah') + dossier ('doe-seeay') + pot ('poe') + l'eaux ('loe') + peau ('poe'); NB: This sound occurs with both o and ô. The accent does not make a large difference.,pronunciation
How do you pronounce the 'o' at the end of a word? e.g. vélo + zéro + apéro + photo + bistro + numéro,An O at the end of a word is pronounced as an oral (non-nasal) O [ɔ] that is closed (tongue up). The sound is short with a downward tone. Do not drag it out. It is same sound as -eau at end of a word. The last syllable receives a lot of emphasis.,pronunciation
Pronounce these words which require an oral (non-nasal) O [ɔ] that is closed (tongue up): téléphone + connecté + comme,téléphOne [ɔn] + cOnnecté [ɔn] + cOmme [ɔm]; The O in each word is pronounced 'oh' but the mouth is slightly more open than a nasal vowel and the sound is forced to the front of the mouth (not through the nose).; Even though these Os are followed by Ms and Ns... they are non nasal becuase the vowel + M/N combo is followed directly by a vowel OR the M/N is a double consonnant.,pronunciation
Pronounce these words with an oral (non-nasal) O [ɔ] that is closed (tongue up): bon + don + son + long + Montpellier + oncle,bon ('bohn') + don ('dohn') + son ('sohn') + long ('lohn') + Montpellier ('mohn-peh-leeay') + oncle ('ohncl'),pronunciation
Pronounce these words which require an oral O [ɔ] that is open (tongue down): sors + robe + mort + école + l'alcool (alcohol) + soldat (soldier) + hotte (hood),Sound is at the top of the mouth: sors ('sohr') + robe ('rob') + mort ('mohr') + école ('ay-cohl') + l'alcool ('lal-cohl') + soldat ('sohl-da') + hotte ('hoht'); This vowel sound is often followed by a consonnant EXCEPT N (because N would result in a nasal sound).; Remember that a double consonant can change the sound of the vowel that precedes the pair. e.g. personne,pronunciation
Pronounce these words which require a nasal O [ɔ̃]: mon + maison + raison + comparer,mOn [ɔ̃n] + maisOn [ɔ̃n] + raisOn [ɔ̃n] + cOmparer [ɔ̃m]; The O in each word is pronounced 'oh' but the mouth is slightly more closed than a non-nasal vowel and the sound is forced to the top through the nose (not to the front of the mouth).; Notice how each vowel + N/M combo is not followed by a vowel (or double consonnant). That allows the vowel to remain nasal.,pronunciation
How are these pronounced differently?: -on + -ont + -ons,These are all pronounced as a very nasal O [ɔ̃] and they all sound exactly the same because the consonants are not pronounced strongly. These spellings are used often in verbs.,pronunciation
How is 'un homme' pronounced differently than 'un nom'?,UN‿HOMME: open O sound. It is pronounced like a mix between 'ah-nohm' and 'ah-nahm'.; UN‿NOM: closed O sound. It is pronunced like 'ah-nome'.; Both use liaison so the only way to tell these apart when speaking is to differentiate the O sound.,pronunciation
How are these pronounced differently?: un os (bone) + des os (bones),un os ('uh-nohs') is open with sound at the top of the mouth [ɔ]. des os ('day-zoh') is closed/ferme with downward tone [o].; The singular bone (os) has a pronounced S at the end. The plural bones (os) does NOT have a pronounced S at the end.,pronunciation
How are these pronounced differently?: non + nos,NON (= no) is the nasal O [ɔ̃] because vowel + N results in a nasal sound. NOS (= our) is the oral O [o] because S does not transform a vowel into a nasal sound.,pronunciation
Pronounce these words with the open OU sound ([u]): ou + où + nous + vous + sous + dessous + bouche + fou + four + jour + cour + route?,OU ([u]) is pronounced somewhat like an English U (the short and clear 'oo' sound like in food or book). But the mouth is flattened and slightly open. Rest the tongue on the bottom teeth and flatten the shape of lips: ou ('oo') + où ('oo') + nous ('noo') + vous ('voo') + sous ('soo') + dessous ('duh-soo') + bouche ('boosh') + fou ('foo') + four ('foor') + jour ('joor') + cour ('koor') + route ('root'); NB: The following spellings are all pronounced with this [u] sound: ou + où + ous + oux + oû + ow + hou + houx,pronunciation
Pronounce these words with the closed U sound ([y]): tu + Hugo + vu + eu (avoir passé composé) + musique + voiture + minute + rue + avenue + bus + rue + vue + mur + Lune + sucre + puce (chip),This is the deep french U. It is very different than the English U (which is pronounced like food or book). The french U is a long 'ewwww' sound with pursed and rounded lips (o-shape). Really stress the EWW part - it is not just a deep U. The tongue is pulled back from the teeth. The sound has a deep and downward tone / low in the mouth. You should feel reverberation of the sound - like a bass speaker.: tu ('teuww') + Hugo ('euww-go') + vu ('veuww') + eu ('euww') + musique ('meuww-zik') + voiture ('vwa-teuwwr') + minute ('mee-neuwwt') + rue ('reuww') + avenue ('ah-vuh-neuww') + bus ('beuwws') + rue ('reuww') + vue ('veuww') + mur ('meuww') + Lune ('leuwwn') + sucre ('seuwwkr') + puce ('peuwws'),pronunciation
Pronounce these phrases to clarify the difference between EU [ø] and OU [u]: Je peux. Je veux. chez eux. vs... nous vous doux tout,The EU sound is high in the mouth and a combination of 'uh' and 'oo'. The OU sound is like an English 'oo'.; Remember to make liaison between chez and eux.,pronunciation
Pronounce these phrases to clarify the difference between EU [ø] and U [y]: Je peux. J'ai pu. + Je veux. Ja'i vu. + deux (2) douze (12),In each pair the first word has a closed EU [ø] like euro. The second word has a closed U [y] like Hugo (much lower in the mouth with more of an 'ewww' sound).,pronunciation
Pronounce these phrases to clarify the difference between OU [u] and U [y]: nous vous doux tout vs... J'ai pu. J'ai vu. Hugo.,The first set sounds like 'book' in English. The second set has a U that is much lower in the mouth with more of an 'ewww' sound (which does not exist in English).; To practice the difference between OU an U... alternate saying: koukou and kuku. koukou is higher in the mouth with tongue pulled back from teeth. kuku is more downward with rounded lips and tongue resting on the bottom teeth.,pronunciation
